District,Type,Variable
Bengaluru (Urban),new,TotalFactories_849
Bengaluru (Urban),new,NoOfMobilePhones_1021
Bengaluru (Urban),new,TotalMotorVehicles_1004
Bengaluru (Urban),new,InternetConnection_1022
Bengaluru (Urban),new,NoOfFishMarket_833
Bengaluru (Urban),new,NoOfColdStorage_825
Bengaluru (Urban),old,TotalFactories_849
Bengaluru (Urban),old,NoOfMobilePhones_1021
Bengaluru (Urban),old,TotalMotorVehicles_1004
Bengaluru (Urban),old,InternetConnection_1022
Bengaluru (Urban),old,NoOfFishMarket_833
Bengaluru (Urban),old,NoOfColdStorage_825
Bengaluru (Rural),new,TotalFactories_849
Bengaluru (Rural),new,NoOfMobilePhones_1021
Bengaluru (Rural),new,TotalMotorVehicles_1004
Bengaluru (Rural),new,InternetConnection_1022
Bengaluru (Rural),new,NoOfFishMarket_833
Bengaluru (Rural),new,NoOfColdStorage_825
Bengaluru (Rural),old,TotalFactories_849
Bengaluru (Rural),old,NoOfMobilePhones_1021
Bengaluru (Rural),old,TotalMotorVehicles_1004
Bengaluru (Rural),old,InternetConnection_1022
Bengaluru (Rural),old,NoOfFishMarket_833
Bengaluru (Rural),old,NoOfColdStorage_825
Ramanagara,new,TotalFactories_849
Ramanagara,new,NoOfMobilePhones_1021
Ramanagara,new,TotalMotorVehicles_1004
Ramanagara,new,InternetConnection_1022
Ramanagara,new,NoOfFishMarket_833
Ramanagara,new,NoOfColdStorage_825
Ramanagara,old,TotalFactories_849
Ramanagara,old,NoOfMobilePhones_1021
Ramanagara,old,TotalMotorVehicles_1004
Ramanagara,old,InternetConnection_1022
Ramanagara,old,NoOfFishMarket_833
Ramanagara,old,NoOfColdStorage_825
Chitradurga,new,TotalFactories_849
Chitradurga,new,NoOfMobilePhones_1021
Chitradurga,new,TotalMotorVehicles_1004
Chitradurga,new,InternetConnection_1022
Chitradurga,new,NoOfFishMarket_833
Chitradurga,new,NoOfColdStorage_825
Chitradurga,old,TotalFactories_849
Chitradurga,old,NoOfMobilePhones_1021
Chitradurga,old,TotalMotorVehicles_1004
Chitradurga,old,InternetConnection_1022
Chitradurga,old,NoOfFishMarket_833
Chitradurga,old,NoOfColdStorage_825
Davanagere,new,TotalFactories_849
Davanagere,new,NoOfMobilePhones_1021
Davanagere,new,TotalMotorVehicles_1004
Davanagere,new,InternetConnection_1022
Davanagere,new,NoOfFishMarket_833
Davanagere,new,NoOfColdStorage_825
Davanagere,old,TotalFactories_849
Davanagere,old,NoOfMobilePhones_1021
Davanagere,old,TotalMotorVehicles_1004
Davanagere,old,InternetConnection_1022
Davanagere,old,NoOfFishMarket_833
Davanagere,old,NoOfColdStorage_825
Kolara,new,TotalFactories_849
Kolara,new,NoOfMobilePhones_1021
Kolara,new,TotalMotorVehicles_1004
Kolara,new,InternetConnection_1022
Kolara,new,NoOfFishMarket_833
Kolara,new,NoOfColdStorage_825
Kolara,old,TotalFactories_849
